director_id,movie_id
25,869
248,872
249,872
24,873
89,874
24,879
74,881
250,887
251,888
251,889
234,907
36,913
243,920
252,920
128,921
253,924
108,925
254,926
255,927
255,928
19,935
140,943
140,944
234,947
220,948
256,950
257,951
258,953
259,953
37,954
199,955
260,956
261,957
240,978
235,985
262,990
235,1018
41,1024
263,1051
264,1088
265,1090
220,1091
220,1103
266,1116
27,1124
267,1125
17,1164
76,1165
117,1213
268,1245
269,1246
270,1248
271,1250
14,1251
272,1259
246,1262
273,1265
274,1266
275,1268
253,1271
53,1272
276,1273
277,1359
278,1360
246,1365
279,1366
280,1368
281,1369
282,1370
168,1372
283,1378
131,1381
50,1389
184,1391
284,1402
285,1408
286,1415
287,1415
288,1417
34,1422
35,1427
2,1428
108,1429
289,1430
290,1435
291,1440
47,1443
173,1452
288,1487
292,1491
293,1493
28,1495
294,1497
295,1499
296,1523
32,1535
139,1537
297,1538
298,1542
119,1547
119,1551
299,1555
300,1562
86,1571
36,1572
285,1573
301,1574
111,1576
302,1577
34,1578
63,1579
303,1581
26,1584
79,1585
304,1586
110,1587
305,1588
306,1593
189,1597
34,1598
307,1613
308,1619
309,1620
94,1621
95,1624
31,1635
43,1636
179,1637
179,1639
310,1640
311,1642
119,1645
312,1646
313,1648
192,1656
314,1667
315,1667
36,1669
316,1677
52,1683
317,1685
318,1687
319,1688
320,1690
320,1691
321,1701
319,1705
322,1717
323,1722
324,1724
46,1725
325,1725
326,1726
327,1729
328,1734
329,1735
172,1770
100,1771
289,1777
289,1779
330,1781
331,1788
145,1792
146,1792
316,1813
119,1817
332,1819
333,1819
334,1824
216,1830
335,1831
336,1832
183,1833
337,1844
88,1850
221,1852
31,1858
301,1865
57,1878
338,1880
108,1883
279,1885
47,1887
339,1891
340,1892
5,1893
5,1894
5,1895
50,1900
218,1903
301,1904
53,1907
341,1909
36,1911
342,1913
343,1921
140,1924
45,1927
344,1930
345,1931
323,1934
18,1946
110,1947
346,1948
347,1948
150,1949
9,1951
348,1954
349,1954
235,1955
350,1957
351,1961
221,1966
352,1969
353,1969
354,1970
354,1975
355,1979
161,1985
356,1988
236,1989
321,1995
179,1996
240,1997
357,2001
358,2009
149,2013
359,2018
360,2022
100,2023
124,2024
361,2026
362,2034
363,2043
364,2044
365,2048
156,2055
366,2056
367,2057
244,2059
368,2062
369,2062
37,2067
370,2069
371,2074
247,2080
372,2085
373,2088
374,2100
77,2105
78,2105
375,2112
376,2114
377,2114
378,2116
20,2118
32,2119
379,2122
145,2123
146,2123
107,2133
380,2135
381,2140
21,2142
13,2148
382,2155
52,2157
383,2162
92,2163
384,2176
165,2185
385,2196
140,2207
144,2251
18,2252
173,2253
336,2255
386,2266
312,2266
387,2266
388,2266
389,2266
130,2266
390,2266
391,2266
133,2266
184,2266
105,2266
392,2266
35,2266
180,2266
122,2266
393,2266
394,2266
395,2266
396,2266
39,2266
397,2266
78,2268
398,2270
321,2275
183,2277
399,2280
400,2288
117,2289
336,2292
336,2293
336,2294
336,2295
401,2300
