director_name,director_id
Judd Apatow,475
Edward Norton,476
Mathieu Kassovitz,477
James Cox,478
Kirsten Sheridan,479
Kerry Conran,480
Michael Polish,481
Brett Ratner,482
Shane Black,483
Robert Altman,484
Yvette Kaplan,485
Greg Tiernan,486
Paul Bolger,487
Roger Christian,488
Andrew Davis,489
Fred Dekker,490
Simon J. Smith,491
Steve Hickner,492
Russ Meyer,493
John Carney,494
Tony Richardson,495
Clark Johnson,496
Melvin Van Peebles,497
Luis Mandoki,498
Sean Penn,499
John Sturges,500
John Hamburg,501
David Dobkin,502
Bob Spiers,503
Lawrence Kasdan,504
David McNally,505
Griffin Dunne,506
Frederik Du Chau,507
Tim Hill,508
Francis Lawrence,509
Frank Marshall,510
Jay Chandrasekhar,511
Rodman Flender,512
Anne Fletcher,513
Jake Kasdan,514
Craig Gillespie,515
Tom Dey,516
Clare Kilner,517
Matt Reeves,518
Thomas Carter,519
Jonathan Hensleigh,520
Jason Friedberg,521
Aaron Seltzer,522
Danny DeVito,523
Kurt Wimmer,524
Wayne Wang,525
Wayne Kramer,526
Jason Reitman,527
Katt Shea,528
Breck Eisner,529
Peter Lord,530
Jim Sheridan,531
Ben Stiller,532
Gary Goldman,533
Don Bluth,534
Garth Jennings,535
Pete Travis,536
Anthony Stacchi,537
Roger Allers,538
Jill Culton,539
Brian Koppelman,540
David Levien,541
Ryan Murphy,542
Joe Carnahan,543
Tim Johnson,544
Karey Kirkpatrick,545
Rob McKittrick,546
Dennis Gansel,547
Russell Mulcahy,548
Ryan Fleck,549
David Jacobson,550
Craig Brewer,551
Rakeysh Omprakash Mehra,552
David Schwimmer,553
John Moore,554
Andrew Morahan,555
Tommy Lee Jones,556
Roger Vadim,557
E. Elias Merhige,558
Gregory Hoblit,559
Joseph L. Mankiewicz,560
John Dahl,561
Jared Hess,562
Phillip Noyce,563
Karyn Kusama,564
Mark Waters,565
Dany Boon,566
Nicolas Guy,567
D.J. Caruso,568
Jesse Dylan,569
Martin McDonagh,570
Jon M. Chu,571
Jaume Balagueru00f3,572
Paco Plaza,573
Joel Zwick,574
Greg Mottola,575
Kevin Reynolds,576
Troy Duffy,577
George A. Romero,578
Jeff Wadlow,579
Michael Haneke,580
Nick Cassavetes,581
Andy Tennant,582
Warren Beatty,583
Nicholas Hytner,584
Scott Derrickson,585
Mimi Leder,586
Kathryn Bigelow,587
Pierre Morel,588
Stephen Norrington,589
Adam McKay,590
Terrence Malick,591
Michael McCullers,592
George Miller,593
Alan Parker,594
Peter Hyams,595
Chris Carter,596
Charles S. Dutton,597
Tarsem Singh,598
Charles Shyer,599
Kenneth Johnson,600
Danny Leiner,601
Antony Hoffman,602
Penelope Spheeris,603
P.J. Hogan,604
Ari Folman,605
Timur Bekmambetov,606
Mary Lambert,607
Peter Hewitt,608
Victor Salva,609
Glenn Ficarra,610
John Requa,611
Catherine Hardwicke,612
Stephen T. Kay,613
Sam Weisman,614
John Bonito,615
Nigel Cole,616
Jean-Franu00e7ois Richet,617
Nicole Holofcener,618
Clive Barker,619
Jeff Tremaine,620
Michael Lembeck,621
Lorna Cook,622
Tom Vaughan,623
David Moreau,624
Xavier Palud,625
Dennis Dugan,626
Bruce Hunt,627
Rachel Talalay,628
Andrew Fleming,629
John Stockwell,630
Brett Leonard,631
Steve Oedekerk,632
Todd Phillips,633
James Wong,634
Ken Annakin,635
Bernhard Wicki,636
Andrew Marton,637
Michael Lehmann,638
Gil Kenan,639
Richard Stanley,640
Robert Schwentke,641
Frank Coraci,642
Larry Clark,643
Jeff Schaffer,644
George Ogilvie,645
Mark Romanek,646
Ron Underwood,647
Morgan Spurlock,648
Christian Volckman,649
Chris Buck,650
Ash Brannon,651
David Nutter,652
Peter Cattaneo,653
John Fortenberry,654
Hugh Hudson,655
Kirk Wong,656
James Foley,657
Michael Wadleigh,658
Vincent Gallo,659
Rawson Marshall Thurber,660
Peter Howitt,661
Nora Ephron,662
Tamra Davis,663
Mark Osborne,664
John Stevenson,665
Richard Shepard,666
William Malone,667
Philip Kaufman,668
Mort Nathan,669
Gary Nelson,670
Les Mayfield,671
Chris Koch,672
Sheldon Lettich,673
Chris Noonan,674
Raja Gosnell,675
Rocky Morton,676
Annabel Jankel,677
Justin Lin,678
Albert Magnoli,679
Andrei Konchalovsky,680
Steven Seagal,681
Steve Beck,682
Andy Fickman,683
Glen Morgan,684
Tony Bill,685
John Maybury,686
Peter Faiman,687
Douglas McGrath,688
Dominic Sena,689
Jim Sonzero,690
Burr Steers,691
Andy Garcu00eda,692
Doug Lefler,693
Steve Miner,694
Joseph Zito,695
Danny Steinmann,696
Richard Loncraine,697
Phil Joanou,698
Costa-Gavras,699
Adam Rifkin,700
Alexandre Aja,701
Greg Coolidge,702
Beeban Kidron,703
Bob Odenkirk,704
Jamie Babbit,705
John R. Leonetti,706
Kinka Usher,707
Brenda Chapman,708
Nicholas Stoller,709
Jamie Blanks,710
Andrew Bergman,711
Susan Stroman,712
Rob Schmidt,713
John A. Davis,714
David S. Ward,715
Werner Herzog,716
Miguel Arteta,717
Mennan Yapo,718
Matthew O'Callaghan,719
Geoffrey Sax,720
Mark Dindal,721
Gary Winick,722
Jack Sholder,723
Mike Marvin,724
Bille Woodruff,725
Mark Helfrich,726
Andrew Douglas,727
Jaume Collet-Serra,728
Brian Robbins,729
William Brent Bell,730
Ben Garant,731
Craig R. Baxley,732
Rowdy Herrington,733
Michael Ritchie,734
Terry Zwigoff,735
Troy Miller,736
Ryu00fbhei Kitamura,737
Joshua Michael Stern,738
Sanaa Hamri,739
David Gordon Green,740
Dean DeBlois,741
Chris Sanders,742
Mike Mitchell,743
Lee Unkrich,744
Kenneth Branagh,745
Robert Stevenhagen,746
Sam Fell,747
Atom Egoyan,748
Tom McLoughlin,749
Bob Clark,750
Barbra Streisand,751
John Carl Buechler,752
Rob Hedden,753
Adam Marcus,754
Andrew Currie,755
Gary Sherman,756
Rupert Wainwright,757
Grant Heslov,758
Robert Iscove,759
Hideo Nakata,760
Charles Herman-Wurmfeld,761
Mark A.Z. Dippu00e9,762
John Huston,763
Mic Rodgers,764
Franco Zeffirelli,765
Walter Hill,766
Diane Keaton,767
Norman Jewison,768
Marcus Raboy,769
Philip G. Atwell,770
Kenny Ortega,771
Steve Carr,772
Mark Levin,773
Jennifer Flackett,774
Michael Patrick Jann,775
Bibo Bergeron,776
Don Michael Paul,777
Eric Goldberg,778
Mike Gabriel,779
Roland Joffu00e9,780
Kirk Wise,781
Gary Trousdale,782
Wych Kaosayananda,783
Rob Letterman,784
Damien O'Donnell,785
Matt Williams,786
Ralph Zondag,787
Eric Leighton,788
Patrick Lussier,789
Tom Holland,790
Randall Wallace,791
Luke Greenfield,792
Boaz Yakin,793
Takao Okawara,794
Gregory Poirier,795
Willard Huyck,796
Tony Bancroft,797
Barry Cook,798
Tommy Lee Wallace,799
Todd Solondz,800
Vondie Curtis-Hall,801
Noah Baumbach,802
Joseph Kahn,803
John Lee Hancock,804
Don Siegel,805
Adrienne Shelly,806
Joe Nussbaum,807
Paul Weiland,808
Michael Anderson,809
Ringo Lam,810
Jeb Stuart,811
Lucky McKee,812
Harald Zwart,813
Dan O'Bannon,814
Michael Cimino,815
Jessie Nelson,816
Dennie Gordon,817
Cory Edwards,818
Todd Edwards,819
Tony Leech,820
Joe Chappelle,821
Kunihiko Yuyama,822
Michael Haigney,823
Lawrence Guterman,824
Mark L. Lester,825
Steven Shainberg,826
Denys Arcand,827
Nick Hamm,828
Reginald Hudlin,829
Vadim Perelman,830
John Polson,831
George Cukor,832
Jay Russell,833
Justin Kerrigan,834
Sara Sugarman,835
Toshio Masuda,836
Kinji Fukasaku,837
John Lafia,838
Franklin J. Schaffner,839
Patrick Read Johnson,840
Dwight H. Little,841
Mark Rosman,842
Don Mancini,843
Mikael Salomon,844
Kirk Jones,845
Kevin Bray,846
Dominique Othenin-Girard,847
Edward Burns,848
John Pasquin,849
Joel Gallen,850
Christian Duguay,851
Jeremy Brock,852
Sidney J. Furie,853
Rick Rosenthal,854
Angela Robinson,855
Walt Becker,856
Mike Bigelow,857
Harold Becker,858
James Isaac,859
Jacques Perrin,860
Joseph Ruben,861
John Whitesell,862
David Bowers,863
Anthony Mann,864
Mervyn LeRoy,865
Phyllida Lloyd,866
Mira Nair,867
Kevin Rodney Sullivan,868
Gary David Goldberg,869
Christian Carion,870
Steven E. de Souza,871
Newt Arnold,872
John Ford,873
Shane Meadows,874
Kirk De Micco,875
Stephen Hillenburg,876
Blake Edwards,877
Jean-Paul Rappeneau,878
Barbet Schroeder,879
David Hackl,880
Craig Mazin,881
Christopher Cain,882
"George Tillman, Jr.",883
Michael Rymer,884
Gregory Widen,885
Stuart Gordon,886
Michael Dowse,887
Richard Benjamin,888
Demian Lichtenstein,889
Uwe Boll,890
Bill Paxton,891
Vincent Ward,892
Marco Schnabel,893
Peter Sollett,894
Seth Gordon,895
Douglas Aarniokoski,896
John Ottman,897
Shane Acker,898
Jacob Aaron Estes,899
Patrick Tatopoulos,900
Billy Bob Thornton,901
Fred Wolf,902
George Armitage,903
Jessy Terrero,904
Ed Harris,905
Elaine May,906
Liz Friedlander,907
Ben Gluck,908
Anthony Bell,909
Gina Prince-Bythewood,910
Charles Ferguson,911
Robert C. Cooper,912
Tony Maylam,913
Byron Howard,914
Chris Williams,915
Lexi Alexander,916
Jon Kasdan,917
Michael Corrente,918
Laurie Collyer,919
Christine Jeffs,920
Robert B. Weide,921
Gavin O'Connor,922
Walter Murch,923
Oxide Pang Chun,924
Danny Pang,925
Joshua Seftel,926
Robert Moresco,927
Neil LaBute,928
Paul Bartel,929
Jon Hurwitz,930
Hayden Schlossberg,931
Amy Heckerling,932
Alex Gibney,933
Christopher Guest,934
Tim Fywell,935
DJ Pooh,936
Denzel Washington,937
Neil Marshall,938
Joby Harold,939
Agustu00edn Du00edaz Yanes,940
Charles Stone III,941
Jake Paltrow,942
Chris Paine,943
Sean Anders,944
Billy Ray,945
John Sanford,946
Will Finn,947
Doug Atchison,948
David S. Goyer,949
John Erick Dowdle,950
Alex Cox,951
S.R. Bindler,952
Jeremy Passmore,953
Hal Haberman,954
