Actor,gender,actor_id
Vladimir McCrary,Unspecified,346
Aron Paramor,Unspecified,347
Alan Ruscoe,Unspecified,348
Christopher Adamson,Male,349
u00c8ve Salvail,Unspecified,350
Kaleem Janjua,Unspecified,351
Tyrone Tyrell,Unspecified,352
Kevin Brewerton,Unspecified,353
Ian Beckett,Unspecified,354
Sonny Caldinez,Unspecified,355
Zeta Graff,Unspecified,356
Eddie Ellwood,Unspecified,357
Yui,Unspecified,358
Laura De Palma,Unspecified,359
Lenny McLean,Male,360
Robert Oates,Unspecified,361
John Sharian,Male,362
Fred Williams,Unspecified,363
Sibyl Buck,Unspecified,364
Sarah Carrington,Unspecified,365
Ali Yassine,Unspecified,366
Sean Buckley,Unspecified,367
Dane Messam,Unspecified,368
Nathan Hamlett,Unspecified,369
Cecil Cheng,Unspecified,370
Scott Woods,Unspecified,371
Leon Dekker,Unspecified,372
David Garvey,Unspecified,373
Stanley Kowalski,Unspecified,374
Omar Williams,Unspecified,375
Robert Clapperton,Unspecified,376
Robert Alexander,Unspecified,377
Mia Frye,Unspecified,378
Leo Williams,Unspecified,379
C. Keith Martin,Unspecified,380
J.D. Dawodu,Unspecified,381
Patrick Nicholls,Unspecified,382
Shaun Davis,Unspecified,383
Roy Garcia,Unspecified,384
Alex Georgijev,Unspecified,385
Marie Guillard,Female,386
Renee Montemayor,Female,387
Stina Richardson,Unspecified,388
Kristen Fick,Female,389
Franu00e7ois Guillaume,Unspecified,390
Anita Koh,Unspecified,391
Kamay Lau,Unspecified,392
Tracy Redington,Unspecified,393
Gito Santana,Unspecified,394
Frank Senger,Male,395
Joss Skottowe,Unspecified,396
Roger Wright,Unspecified,397
John Bennett,Male,398
Brigitte Helm,Female,399
Alfred Abel,Male,400
Gustav Fru00f6hlich,Male,401
Rudolf Klein-Rogge,Male,402
Fritz Rasp,Male,403
Theodor Loos,Unspecified,404
Erwin Biswanger,Male,405
Heinrich George,Male,406
Olaf Storm,Male,407
Helene Weigel,Male,408
Margarete Lanner,Female,409
Hanns Leo Reich,Unspecified,410
Fritz Alberti,Unspecified,411
Heinrich Gotho,Male,412
Grete Berger,Female,413
Curt Siodmak,Male,414
Rolf von Goth,Unspecified,415
Helen von Mu00fcnchofen,Female,416
Georg John,Unspecified,417
Arthur Reinhardt,Unspecified,418
Henrietta Siodmak,Unspecified,419
Johnny Depp,Male,420
Orlando Bloom,Male,421
Keira Knightley,Female,422
Jack Davenport,Male,423
Jonathan Pryce,Male,424
Kevin McNally,Male,425
Zoe Saldana,Female,426
Lee Arenberg,Male,427
Mackenzie Crook,Male,428
Damian O'Hare,Unspecified,429
Treva Etienne,Male,430
Michael Berry Jr.,Unspecified,431
David Bailie,Male,432
Christopher S. Capp,Male,433
Martin Klebba,Male,434
Isaac C. Singleton Jr.,Male,435
Giles New,Unspecified,436
Angus Barnett,Male,437
Greg Ellis,Male,438
Guy Siner,Male,439
Ralph P. Martin,Male,440
Paula J. Newman,Unspecified,441
Paul Keith,Unspecified,442
Dylan Smith,Male,443
Lucinda Dryzek,Female,444
Lauren Maher,Female,445
Vanessa Branch,Female,446
Luke de Woolfson,Male,447
Michael Sean Tighe,Male,448
Dustin Seavey,Unspecified,449
Christian Martin,Unspecified,450
Trevor Goddard,Male,451
Vince Lozano,Male,452
Matthew Bowyer,Unspecified,453
Brye Cooper,Male,454
Ben Wilson,Male,455
Antonio Valentino,Unspecified,456
Mike Babcock,Unspecified,457
Owen Finnegan,Unspecified,458
Ian McIntyre,Unspecified,459
Israel Aduramo,Male,460
Sam Roberts,Unspecified,461
Ben Roberts,Unspecified,462
Fu00e9lix Castro,Unspecified,463
Mike Haberecht,Unspecified,464
Rudolph McCollum,Unspecified,465
Gerard J. Reyes,Unspecified,466
M. Scott Shields,Unspecified,467
Christopher Sullivan,Unspecified,468
Craig Thomson,Unspecified,469
Fred Toft,Unspecified,470
Jerry Gauny,Unspecified,471
Maxie J. Santillan Jr.,Male,472
Michael Earl Lane,Unspecified,473
David Patykewich,Unspecified,474
Tommy Schooler,Unspecified,475
Finneus Egan,Male,476
D.P. FitzGerald,Unspecified,477
Tobias McKinney,Unspecified,478
Michael A. Thompson,Unspecified,479
Michael W. Williams,Male,480
Jose Zelaya,Unspecified,481
Don LaDaga,Unspecified,482
LeJon,Male,483
Gregory Alosio,Unspecified,484
Jordi Caballero,Male,485
Paul Gagnu00e9,Unspecified,486
Joe Grisaffi,Unspecified,487
James McAuley,Unspecified,488
Uma Thurman,Female,489
Lucy Liu,Female,490
Vivica A. Fox,Female,491
Daryl Hannah,Female,492
David Carradine,Male,493
Michael Madsen,Male,494
Julie Dreyfus,Female,495
Chiaki Kuriyama,Female,496
Sonny Chiba,Male,497
Gordon Liu Chia-Hui,Unspecified,498
Michael Parks,Male,499
Michael Bowen,Male,500
Jun Kunimura,Male,501
Kenji Ohba,Unspecified,502
Yuki Kazamatsuri,Female,503
James Parks,Unspecified,504
Sakichi Satu00f4,Unspecified,505
Jonathan Loughran,Unspecified,506
Yoshiyuki Morishita,Unspecified,507
Tetsuro Shimaguchi,Male,508
Kazuki Kitamura,Male,509
Yu00f4ji Tanaka,Male,510
Su00f4 Yamanaka,Unspecified,511
Julie Manase,Female,512
Akaji Maro,Unspecified,513
Goro Daimon,Unspecified,514
Shun Sugata,Male,515
Zhang Jin Zhan,Unspecified,516
Hu Xiaohui,Unspecified,517
Ambrosia Kelley,Unspecified,518
Sachiko Fujii,Unspecified,519
Shu Lan Tuan,Unspecified,520
Ai Maeda,Unspecified,521
Naomi Kusumi,Unspecified,522
Hikaru Midorikawa,Unspecified,523
Issei Takahashi,Male,524
Jamie Foxx,Male,525
Jake Gyllenhaal,Male,526
Scott MacDonald,Male,527
Lucas Black,Male,528
Peter Sarsgaard,Male,529
Laz Alonso,Male,530
Brian Geraghty,Male,531
Damion Poitier,Male,532
John Krasinski,Male,533
Jocko Sims,Male,534
Kevin Foster,Male,535
Riad Galayini,Unspecified,536
Craig Coyne,Unspecified,537
Katherine Randolph,Unspecified,538
Honorine Bell,Unspecified,539
Dendrie Taylor,Female,540
James Morrison,Male,541
Ming Lo,Male,542
Dennis Haysbert,Male,543
Martin Sheen,Male,544
Marlon Brando,Male,545
Robert Duvall,Male,546
Frederic Forrest,Male,547
Sam Bottoms,Male,548
Laurence Fishburne,Male,549
Albert Hall,Male,550
Dennis Hopper,Male,551
G. D. Spradlin,Male,552
Jerry Ziesmer,Male,553
Scott Glenn,Male,554
James Keane,Male,555
Kerry Rossall,Male,556
Colleen Camp,Female,557
Cynthia Wood,Female,558
Linda Carpenter,Female,559
Jack Thibeau,Male,560
Tom Mason,Male,561
Damien Leake,Male,562
Marc Coppola,Male,563
Glenn Walken,Unspecified,564
Bill Graham,Male,565
Jerry Ross,Male,566
Charles Robinson,Male,567
Nick Nicholson,Unspecified,568
Don Gordon Bell,Unspecified,569
Evan A. Lottman,Male,570
R. Lee Ermey,Male,571
Jim Gaines,Male,572
Charlie Sheen,Male,573
Vittorio Storaro,Male,574
Francis Ford Coppola,Male,575
Henry Strzalkowski,Unspecified,576
Lonnie Woodley,Unspecified,577
Aurore Clu00e9ment,Female,578
Clint Eastwood,Male,579
Gene Hackman,Male,580
Morgan Freeman,Male,581
Richard Harris,Male,582
Jaimz Woolvett,Male,583
Anna Levine,Female,584
Saul Rubinek,Male,585
Frances Fisher,Female,586
David Mucci,Male,587
Rob Campbell,Unspecified,588
Anthony James,Male,589
Ron White,Male,590
Jefferson Mappin,Male,591
Jeremy Ratchford,Male,592
Philip Maurice Hayes,Male,593
Tara Frederick,Female,594
Beverley Elliott,Female,595
Liisa Repo-Martell,Female,596
Shane Meier,Unspecified,597
Robert Koons,Unspecified,598
Mina E. Mina,Unspecified,599
John Pyper-Ferguson,Male,600
Walter Marsh,Male,601
Larry Reese,Unspecified,602
Blair Haynes,Unspecified,603
Frank C. Turner,Male,604
Lochlyn Munro,Male,605
Ben Cardinal,Male,606
Michael Charrois,Unspecified,607
Michael Maurer,Unspecified,608
Larry Joshua,Male,609
George Orrison,Unspecified,610
Greg Goossen,Unspecified,611
Dan Castellaneta,Male,612
Julie Kavner,Female,613
Nancy Cartwright,Female,614
Yeardley Smith,Female,615
Hank Azaria,Male,616
Harry Shearer,Male,617
Kelsey Grammer,Male,618
Maile Flanagan,Unspecified,619
Pamela Hayden,Female,620
Marcia Wallace,Female,621
Joe Mantegna,Male,622
Billie Joe Armstrong,Male,623
Mike Dirnt,Unspecified,624
Tre Cool,Unspecified,625
Tress MacNeille,Female,626
Russi Taylor,Female,627
Karl Wiedergott,Male,628
Maggie Roswell,Unspecified,629
Philip Rosenthal,Unspecified,630
Jim Carrey,Male,631
Kate Winslet,Female,632
Kirsten Dunst,Female,633
Mark Ruffalo,Male,634
Elijah Wood,Male,635
Tom Wilkinson,Male,636
Jane Adams,Female,637
David Cross,Male,638
Deirdre O'Connell,Female,639
Thomas Jay Ryan,Male,640
Ryan Whitney,Unspecified,641
Lola Daehler,Unspecified,642
Debbon Ayer,Female,643
Gerry Robert Byrne,Male,644
Brian Price,Unspecified,645
Josh Flitter,Male,646
Paul Litowsky,Male,647
Amir Ali Said,Male,648
Lauren Adler,Female,649
Gael Garcu00eda Bernal,Male,650
Vanessa Bauche,Female,651
Goya Toledo,Female,652
Alvaro Guerrero,Unspecified,653
Emilio Echevarru00eda,Male,654
Jorge Salinas,Male,655
Rodrigo Murray,Unspecified,656
Humberto Busto,Male,657
Gerardo Campbell,Unspecified,658
Rosa Maru00eda Bianchi,Unspecified,659
Dunia Saldu00edvar,Female,660
Adriana Barraza,Female,661
Josu00e9 Sefami,Unspecified,662
Lourdes Echevarru00eda,Female,663
Marco Pu00e9rez,Male,664
Laura Almela,Female,665
Gustavo Su00e1nchez Parra,Unspecified,666
Dagoberto Gama,Unspecified,667
Rodrigo Ostap,Male,668
Patricio Castillo,Unspecified,669
Roberto Medina,Male,670
Carlos Samperio,Unspecified,671
Mauricio Martu00ednez,Male,672
Ricardo Dalmacci,Male,673
Gustavo Muu00f1oz,Male,674
Bill Nighy,Male,675
Tom Hollander,Male,676
Naomie Harris,Female,677
David Schofield,Unspecified,678
Alex Norton,Male,679
Dermot Keaney,Male,680
Andy Beckwith,Unspecified,681
Clive Ashborn,Male,682
Reggie Lee,Male,683
Jonathan Linsley,Unspecified,684
John Boswall,Unspecified,685
Max Baker,Male,686
Steve Speirs,Male,687
Jonathan Kite,Male,688
Ho-Kwan Tse,Male,689
Peter Donald Badalamenti II,Male,690
Viggo Mortensen,Male,691
Maria Bello,Female,692
Heidi Hayes,Unspecified,693
Ashton Holmes,Male,694
William Hurt,Male,695
Ed Harris,Male,696
Peter MacNeill,Male,697
Stephen McHattie,Male,698
Greg Bryk,Male,699
