actor_id,character_name,cast_order,movie_id
92,Stormtrooper (voice) (uncredited),67,11
93,Jawa (uncredited),68,11
94,Jawa (uncredited),69,11
94,Extra (uncredited),59,1891
95,Daine Jir (uncredited),70,11
96,BoShek (uncredited),71,11
97,Muftak / Cantina Band Member (uncredited),72,11
98,Temple Guard / Medal Bearer (uncredited),73,11
98,German Soldier (uncredited),47,89
98,Radio Reporter at Funeral (uncredited),86,783
98,White Slayer with Tiger,20,849
99,Jawa (uncredited),74,11
100,Takeel (uncredited),75,11
100,Gypsy (uncredited),27,657
101,Stormtrooper (special edition) (uncredited),76,11
102,Death Star Gunner (uncredited),77,11
103,Cantina Patron (uncredited),78,11
104,Swilla Corey (uncredited),79,11
105,Massassi Base Rebel Scout (uncredited),80,11
106,Rycar Ryjerd (uncredited),81,11
106,Oompa Loompa,10,252
106,Midget,38,1955
107,InCom Engineer (uncredited),82,11
107,Older Gotham Water Board Technician,59,272
107,"Belknap, farm manager",13,606
107,Cmdr. Carter,26,691
107,Commentator,33,783
107,Capt. 'Ace' Owens,13,935
107,Controller,24,8536
108,Leesub Sirln (uncredited),83,11
109,Cmdr. Praji (Imperial Officer #2 on rebel ship) (uncredited),84,11
109,Stromberg One Captain,28,691
110,Tawss Khaa (uncredited),85,11
111,Senni Tonnika (uncredited),86,11
112,Cantina Patron (uncredited),87,11
113,Cantina Patron (uncredited),88,11
114,Sai'torr Kal Fas (uncredited),89,11
115,Lt. Pol Treidum (uncredited),90,11
116,Cantina Voices (voice) (uncredited),91,11
117,Massassi Outpost Announcer / Various Voices (voice) (uncredited),92,11
118,Lt. Shann Childsen (uncredited),93,11
118,Magistrate,26,197
118,Russian Doctor,26,10003
119,Cantina Alien (uncredited),94,11
119,Rancor,124,1892
120,Del Goren (uncredited),95,11
120,TMA-1 Site Photographer (uncredited),58,62
120,Secret Service Man,23,794
120,Mandrake' aide (uncredited),19,935
120,"Wyron Serper, Other Rebel Officer",47,1891
120,Agent,83,1924
121,Stormtrooper (voice) (uncredited),96,11
122,Stormtrooper (voice) (uncredited),97,11
123,Jawa (uncredited),98,11
124,Greedo (voice) (uncredited),99,11
124,Jabba the Hutt (voice),128,1892
125,Thuku (uncredited),100,11
