movie_id,country_iso_code
2026,DE
2026,US
2034,AU
2034,US
2043,CA
2043,DE
2043,US
2044,US
2048,US
2048,DE
2055,US
2056,US
2057,FR
2057,US
2059,US
2062,US
2067,US
2069,CA
2069,US
2074,US
2080,US
2085,US
2088,GB
2088,US
2100,US
2105,US
2112,US
2114,JP
2114,US
2116,US
2118,US
2119,US
2122,US
2123,US
2133,US
2135,US
2140,FR
2140,US
2142,US
2148,US
2155,US
2157,US
2162,US
2163,US
2176,US
2185,US
2196,GB
2207,US
2207,DE
2251,US
2252,GB
2252,US
2252,CA
2253,DE
2253,US
2255,US
2266,FR
2268,GB
2268,US
2270,IS
2270,GB
2270,US
2275,DE
2275,US
2277,DE
2277,US
2280,US
2288,US
2289,US
2289,GB
2289,RO
2289,IT
2292,US
2293,US
2294,US
2295,US
2300,US
2309,DE
2309,GB
2309,US
2310,US
2320,US
2355,US
2359,US
2370,US
2395,BE
2395,FR
2395,DE
2395,IT
2395,ES
2428,US
2453,US
2454,CZ
2454,PL
2454,SI
2454,US
2486,GB
2486,US
2486,HU
2493,US
2501,US
2501,DE
2501,CZ
2502,DE
2502,US
2503,DE
2503,US
2539,US
2567,US
2575,IE
2575,US
2604,US
2610,US
2619,US
2621,US
2636,PE
2636,US
2637,US
2639,US
2642,AU
2642,US
2649,US
2652,US
2655,US
2662,US
2666,AU
2666,US
2667,US
2669,US
2669,GB
2675,US
2687,FR
2687,US
2698,US
2749,DE
2749,US
2755,US
2756,US
2757,US
2770,US
2787,US
2789,US
2832,US
2898,US
2900,US
2907,US
2925,US
2959,AU
2959,US
2976,GB
2976,US
2977,GB
2977,US
2989,US
3021,US
3033,GB
3033,US
3034,US
3049,US
3050,US
3059,US
3060,US
3062,US
3078,US
3080,US
3082,US
3083,US
3089,US
3093,DE
3093,GB
3093,US
3116,US
3131,US
3131,IT
3132,US
3170,US
3172,US
3175,GB
3175,US
3291,FR
3291,JP
3291,GB
3291,US
3482,FR
3482,US
3489,US
3509,US
3512,US
3536,FR
3536,US
3580,US
3594,DE
3594,US
3595,US
3597,US
3600,US
3604,US
3638,AU
3638,US
3682,US
3683,US
3877,US
3902,US
3933,US
3981,US
3989,DE
3989,US
4011,US
4012,US
4105,US
4108,US
4108,FR
4133,US
4147,US
4148,GB
4148,US
4174,US
4232,US
4233,US
4234,US
4244,US
4248,CA
4248,US
4251,IN
4256,US
4257,US
4258,US
4327,US
4347,GB
4347,FR
4347,US
4348,FR
4348,GB
4348,US
4349,DE
4349,US
4379,US
4379,DE
4380,US
4421,US
