genre_id,movie_id
11,601
5,601
7,601
3,602
4,602
5,602
4,603
5,603
3,604
4,604
12,604
5,604
3,605
4,605
12,605
5,605
8,606
3,607
4,607
1,607
5,607
3,608
4,608
1,608
5,608
17,609
8,612
4,612
16,612
12,612
8,613
16,613
13,613
8,615
8,616
4,616
16,616
13,616
8,617
2,617
15,617
8,619
4,619
12,619
10,619
9,619
9,621
17,622
12,622
15,622
8,627
2,627
17,628
9,628
8,629
12,629
2,629
3,630
11,630
7,630
8,634
1,634
9,634
8,639
1,639
9,639
8,640
2,640
8,641
2,641
8,642
16,642
14,642
2,642
3,644
8,644
5,644
3,646
4,646
12,646
8,650
2,650
3,652
8,652
13,652
8,654
2,654
3,657
4,657
12,657
3,658
4,658
12,658
3,660
4,660
12,660
17,663
12,663
2,663
3,664
8,664
4,664
8,666
3,667
4,667
12,667
3,668
4,668
12,668
3,671
11,671
7,671
3,672
11,672
7,672
3,673
11,673
7,673
3,674
11,674
7,674
3,675
11,675
15,675
7,675
16,676
9,676
13,676
17,679
4,679
12,679
5,679
12,680
2,680
3,681
4,681
12,681
3,682
4,682
12,682
8,686
5,686
15,686
8,687
8,688
9,688
3,691
4,691
12,691
17,692
1,692
2,692
1,693
9,693
17,694
12,694
3,698
4,698
12,698
5,698
3,699
4,699
12,699
3,700
4,700
12,700
8,702
8,703
1,703
9,703
1,704
10,704
3,707
4,707
12,707
3,708
4,708
12,708
3,709
4,709
12,709
3,710
4,710
12,710
8,711
8,712
1,712
9,712
8,713
9,713
3,714
4,714
12,714
4,744
9,744
13,744
8,745
12,745
15,745
8,746
16,746
17,747
1,747
11,752
4,752
12,752
4,754
12,754
2,754
5,754
17,755
4,755
12,755
2,755
6,756
10,756
7,756
3,762
11,762
1,762
17,764
11,765
17,765
1,765
3,767
11,767
7,767
17,768
12,768
15,768
8,769
2,769
8,770
9,770
13,770
1,771
7,771
3,772
1,772
2,772
7,772
8,773
1,773
12,782
5,782
15,782
9,782
8,783
16,783
8,786
10,786
8,787
4,787
1,787
12,787
8,788
1,788
7,788
17,790
8,792
4,792
13,792
17,794
12,794
11,795
8,795
9,795
8,796
12,796
9,796
8,801
1,801
13,801
8,802
9,802
8,805
17,805
15,805
12,807
2,807
15,807
3,808
11,808
6,808
1,808
7,808
3,809
11,809
6,809
1,809
7,809
3,810
11,810
6,810
1,810
7,810
3,812
11,812
6,812
1,812
9,812
7,812
1,813
1,816
2,816
5,816
3,817
1,817
2,817
5,817
1,818
2,818
5,818
8,819
12,819
2,819
8,820
16,820
12,820
8,821
16,821
8,824
10,824
9,824
8,826
16,826
13,826
11,834
4,834
12,834
5,834
17,837
5,837
15,837
8,838
1,838
8,840
5,840
3,841
4,841
5,841
11,844
8,844
5,844
9,844
12,846
5,846
15,846
11,848
3,849
11,849
4,849
13,853
11,854
1,854
2,854
9,854
4,855
16,855
13,855
8,857
16,857
13,857
8,859
9,859
12,860
5,860
3,861
4,861
5,861
6,862
1,862
7,862
6,863
1,863
7,863
1,864
4,865
5,865
8,866
8,868
2,868
3,869
4,869
12,869
5,869
1,872
10,872
9,872
8,873
8,874
16,874
3,879
11,879
1,879
7,879
8,881
8,887
16,887
9,887
11,888
1,888
7,888
1,889
5,889
9,889
7,889
8,907
9,907
13,907
8,913
2,913
9,913
3,920
6,920
1,920
7,920
8,921
16,921
9,921
11,924
17,924
4,924
8,925
1,926
5,926
7,926
11,927
17,927
1,927
11,928
17,928
1,928
8,935
1,935
13,935
3,943
4,943
1,943
12,943
2,943
3,944
4,944
1,944
12,944
2,944
3,947
8,947
16,947
13,947
17,948
12,948
3,950
6,950
1,950
7,950
1,951
6,953
7,953
3,954
4,954
12,954
3,955
4,955
12,955
3,956
4,956
12,956
1,957
5,957
3,978
8,978
16,978
11,985
8,985
17,985
5,985
8,990
8,1018
12,1018
15,1018
11,1024
8,1024
4,1051
12,1051
2,1051
8,1088
7,1088
12,1090
5,1090
15,1090
17,1091
5,1091
15,1091
4,1103
5,1103
8,1116
16,1116
13,1116
8,1124
12,1124
15,1124
8,1125
8,1164
8,1165
8,1213
12,1213
2,1213
8,1245
9,1245
8,1246
8,1248
12,1248
2,1248
11,1250
17,1250
4,1250
12,1250
3,1251
8,1251
4,1251
13,1251
8,1259
9,1259
11,1262
8,1262
1,1262
9,1262
3,1265
8,1265
7,1265
8,1266
4,1266
12,1266
2,1266
1,1268
7,1268
3,1271
4,1271
13,1271
12,1272
5,1272
3,1273
6,1273
1,1273
7,1273
8,1359
12,1359
2,1359
8,1360
9,1360
8,1365
9,1365
8,1366
3,1368
4,1368
12,1368
13,1368
3,1369
4,1369
12,1369
13,1369
3,1370
4,1370
12,1370
13,1370
8,1372
4,1372
12,1372
8,1378
1,1378
9,1378
3,1381
8,1381
5,1381
9,1381
1,1389
2,1389
9,1389
8,1391
9,1391
8,1402
3,1408
4,1408
8,1415
1,1415
2,1415
11,1417
8,1417
13,1417
8,1422
12,1422
2,1422
