movie_id,KeyPhrases
2310,"adult animation,alienation,ancient world,battle,curse,denmark,festival hall,folk hero,human weakness,lie,motion capture,nordic mythology,pride and vanity,royalty,sin,viking"
2655,"ghost,haunted house,haunting,missing girl,ouija board,secret"
3175,"british army,british soldier,debt,epic,fencing,ireland,nobility,palace,prussia,seven years war"
3580,"conspiracy,corruption,criticism,government,los angeles,minister,missing,mother,mother love,murder,nudity,police,power,public,reunion"
3683,"aftercreditsstinger,duringcreditsstinger,dying and death,iwo jima,pacific,world war ii"
4147,"based on graphic novel,cauterizing a wound,frost on a window,homework,learning to drive,liberty half dollar,scarred face,shot in the chin,soft boiled egg,spoiled son,thompson sub machine gun"
4148,"adultery,career,connecticut,infidelity,jealousy,marriage crisis"
5255,"beard,bell,christmas,chute,faith,gift,nerd,north pole,santa claus,ticket,trestle"
5551,"astronaut,elderly,nasa,space travel"
6073,"kidnapping,pistol"
6114,"adultery,autonomous shadow,bestiality,bite,correspondence,fang vamp,maze,religious conflict,remake,rough sex,vampire,vampire sex,vlad,wake"
6963,"chicago,daughter,father,midlife crisis,new york,television,terminal illness,weatherman,wettermann"
8197,"drag queen,savannah,voodoo"
8358,"airplane crash,deserted island,exotic island,loneliness,suicide attempt,survival skills,tropical island,volleyball"
9374,"beauty,drinking,immortality,jealousy,potion,rivalry"
9573,"ex-cop,fbi profiler,heart,heart transplant,houseboat,investigation,police,suspense"
10013,"high school reunion,time travel"
10724,"assault,false identity,flying,kampfjet,pilot,suspense"
11519,"anarchic comedy,california,los angeles,pearl harbor,satire,submarine,war ship,world war ii"
11831,"cuba,havanna,historical figure,mutiny,sentence,slave trade,slavery,tall ship"
11901,"desperation,gunslinger,outlaw"
11975,"court case,courtroom,jurors,lawyer,leukemia,proof"
13223,"car,detroit,gang,gangster,hmong,immigration,old man,priest,rape,teenager,war veteran,widower"
15301,"anthology,nazis,remake,twilight zone"
16869,"anti semitism,blood bath,cinema,dynamite,german occupation of france,gore,guerrilla,gun violence,jew,jew persecution,knife in hand,masochism,mexican standoff,nazis,paris,sadism,scalp,self sacrifice,swastika,violence,winston churchill,world war ii"
17578,"3d,action,captain,liquor,plot,reporter,riddle,sunken treasure,treasure,treasure hunt"
17979,"based on novel,charles dickens,christmas,christmas carol,christmas eve,ghost,holiday,lesson,money,scrooge,victorian england"
19255,"bedtime story,biracial,dead father,dead parents,disguised voice,expectant grandmother,interracial relationship,medical illustrator,reference to bob dylan,reference to huckleberry finn,sonogram,student protest,testicles,unmarried couple"
22954,"apartheid,celebration,duringcreditsstinger,nation,nelson mandela,poverty,president,racism,rugby,south africa,sport,stadium"
37724,"art gallery,booby trap,british secret service,imax,impersonating a police officer,istanbul turkey,killer,macao,secret agent,sociopath,spy,uzi"
44896,"armadillo,cactus,chameleon,construction site,disillusionment,las vegas,nevada,pet,rango,sheriff,terrarium"
57201,"comanche,escape,horse,lawyer,lone ranger,outlaw,partner,survivor,texas,texas ranger,the lone ranger,tonto,train"
57212,"alcoholic,artillery,cavalry,execution,farm life,horse,plowing,trapped,world war i"
68718,"19th century,aftercreditsstinger,black slave,bounty hunter,chases and races,danger,deadly,dentist,django,dual role,friends,friendship,hero,odd couple,plantation,racism,rescue,revenge,rivalry,shootout,society"
72976,"abraham lincoln,american civil war,based on true events,battle of gettysburg,battlefield,conflagration,cultural conflict,emancipation,ethical dilemma,family conflict,gettysburg address,mourning,presidential cabinet,secession,speech,usa president"
87502,"airplane,airplane crash,baseball stadium,confession,denial,f word,flying upside down,hangover,jesus freak,narcissist,national transportation safety board,perjury,porn actress,relapse,substance abuse,syringe"
88794,"biography,fbi director,historical figure"
190859,"biography,iraq,navy seal,sniper,u.s. soldier"
206647,"based on novel,british secret service,mi6,secret agent,sequel,spy,united kingdom"
209451,"based on play,biography"
267935,"based on novel,cannibal,england,evil brother,giant,little girl,london england,orphan,queen"
273248,"blizzard,bounty hunter,hangman,mountains,narration,post civil war,stagecoach,wyoming"
285783,"1970s,based on true story,planning,skyscraper,tightrope,world trade center"
285923,"exploitation,killer,slasher,zombie"
296098,"american,cia,cold war,lawyer,pilot,soviet union,spy"
