movie_id,language_name,language_role
2502,English,Spoken
2503,English,Spoken
2539,English,Spoken
2567,English,Spoken
2575,English,Spoken
2604,English,Spoken
2610,English,Spoken
2619,English,Spoken
2621,English,Spoken
2636,English,Spoken
2637,English,Spoken
2639,English,Spoken
2642,English,Spoken
2649,English,Spoken
2652,English,Spoken
2655,English,Spoken
2662,English,Spoken
2666,English,Spoken
2667,English,Spoken
2669,English,Spoken
2675,English,Spoken
2687,English,Spoken
2698,English,Spoken
2749,English,Spoken
2755,English,Spoken
2756,English,Spoken
2757,English,Spoken
2770,English,Spoken
2787,English,Spoken
2789,English,Spoken
2832,English,Spoken
2898,English,Spoken
2900,English,Spoken
2907,English,Spoken
2925,English,Spoken
2959,English,Spoken
2976,English,Spoken
2977,English,Spoken
2989,English,Spoken
3021,English,Spoken
3033,English,Spoken
3034,English,Spoken
3049,English,Spoken
3050,English,Spoken
3059,English,Spoken
3062,English,Spoken
3078,English,Spoken
3080,English,Spoken
3082,English,Spoken
3083,English,Spoken
3089,English,Spoken
3093,English,Spoken
3116,English,Spoken
3131,English,Spoken
3132,English,Spoken
3170,English,Spoken
3172,English,Spoken
3175,English,Spoken
3291,English,Spoken
3482,English,Spoken
3489,English,Spoken
3509,English,Spoken
3512,English,Spoken
3536,English,Spoken
3580,English,Spoken
3594,English,Spoken
3595,English,Spoken
3597,English,Spoken
3600,English,Spoken
3604,English,Spoken
3638,English,Spoken
3682,English,Spoken
3683,English,Spoken
3877,English,Spoken
3902,English,Spoken
3933,English,Spoken
3981,English,Spoken
3989,English,Spoken
4011,English,Spoken
4012,English,Spoken
4105,English,Spoken
4108,English,Spoken
4133,English,Spoken
4147,English,Spoken
4148,English,Spoken
4174,English,Spoken
4232,English,Spoken
4233,English,Spoken
4234,English,Spoken
4244,English,Spoken
4248,English,Spoken
4256,English,Spoken
4257,English,Spoken
4258,English,Spoken
4327,English,Spoken
4347,English,Spoken
4348,English,Spoken
4349,English,Spoken
4379,English,Spoken
4380,English,Spoken
4421,English,Spoken
4442,English,Spoken
4464,English,Spoken
4476,English,Spoken
4477,English,Spoken
4512,English,Spoken
4513,English,Spoken
4515,English,Spoken
4517,English,Spoken
4518,English,Spoken
4523,English,Spoken
4547,English,Spoken
4551,English,Spoken
4553,English,Spoken
4566,English,Spoken
4584,English,Spoken
4597,English,Spoken
4599,English,Spoken
4614,English,Spoken
4638,English,Spoken
4723,English,Spoken
4806,English,Spoken
4824,English,Spoken
4836,English,Spoken
4858,English,Spoken
4911,English,Spoken
4912,English,Spoken
4922,English,Spoken
4929,English,Spoken
4942,English,Spoken
4944,English,Spoken
4951,English,Spoken
4958,English,Spoken
4959,English,Spoken
4964,English,Spoken
4967,English,Spoken
4970,English,Spoken
4982,English,Spoken
4995,English,Spoken
4997,English,Spoken
5038,English,Spoken
5123,English,Spoken
5125,English,Spoken
5137,English,Spoken
5172,English,Spoken
5174,English,Spoken
5175,English,Spoken
5176,English,Spoken
5236,English,Spoken
5255,English,Spoken
5279,English,Spoken
5393,English,Spoken
5491,English,Spoken
5503,English,Spoken
5550,English,Spoken
5551,English,Spoken
5559,English,Spoken
5689,English,Spoken
5722,English,Spoken
5723,English,Spoken
5769,English,Spoken
5780,English,Spoken
5820,English,Spoken
5822,English,Spoken
5852,English,Spoken
5854,English,Spoken
5876,English,Spoken
5902,English,Spoken
5915,English,Spoken
5925,English,Spoken
5955,English,Spoken
5966,English,Spoken
6023,English,Spoken
6038,English,Spoken
6068,English,Spoken
6073,English,Spoken
6114,English,Spoken
6116,English,Spoken
6171,English,Spoken
6278,English,Spoken
6282,English,Spoken
6415,English,Spoken
6435,English,Spoken
6439,English,Spoken
6466,English,Spoken
6477,English,Spoken
6479,English,Spoken
6488,English,Spoken
6519,English,Spoken
6520,English,Spoken
6538,English,Spoken
6552,English,Spoken
6557,English,Spoken
6575,English,Spoken
6615,English,Spoken
6639,English,Spoken
6687,English,Spoken
6795,English,Spoken
6877,English,Spoken
6947,English,Spoken
6950,English,Spoken
6957,English,Spoken
6961,English,Spoken
6963,English,Spoken
6964,English,Spoken
6972,English,Spoken
6973,English,Spoken
6977,English,Spoken
6978,English,Spoken
7191,English,Spoken
7214,English,Spoken
7220,English,Spoken
7278,English,Spoken
7288,English,Spoken
7299,English,Spoken
7303,English,Spoken
7304,English,Spoken
7305,English,Spoken
7326,English,Spoken
7341,English,Spoken
7345,English,Spoken
7350,English,Spoken
7364,English,Spoken
7443,English,Spoken
7445,English,Spoken
7446,English,Spoken
7450,English,Spoken
7451,English,Spoken
7453,English,Spoken
7459,English,Spoken
7461,English,Spoken
7484,English,Spoken
7485,English,Spoken
7501,English,Spoken
7510,English,Spoken
7512,English,Spoken
7516,English,Spoken
7518,English,Spoken
7552,English,Spoken
7553,English,Spoken
7737,English,Spoken
7859,English,Spoken
7870,English,Spoken
7873,English,Spoken
7874,English,Spoken
7942,English,Spoken
7978,English,Spoken
7979,English,Spoken
7980,English,Spoken
8007,English,Spoken
8009,English,Spoken
8011,English,Spoken
8012,English,Spoken
8046,English,Spoken
8051,English,Spoken
8053,English,Spoken
8054,English,Spoken
8055,English,Spoken
8065,English,Spoken
8068,English,Spoken
8069,English,Spoken
8077,English,Spoken
8078,English,Spoken
8080,English,Spoken
8090,English,Spoken
8095,English,Spoken
8141,English,Spoken
8193,English,Spoken
8195,English,Spoken
8197,English,Spoken
8198,English,Spoken
8202,English,Spoken
8204,English,Spoken
8224,English,Spoken
8271,English,Spoken
8273,English,Spoken
8285,English,Spoken
8291,English,Spoken
8292,English,Spoken
8321,English,Spoken
8328,English,Spoken
8337,English,Spoken
8338,English,Spoken
8346,English,Spoken
8355,English,Spoken
8358,English,Spoken
